State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Housholds_with_Electric_Lighting,Households_with_Computer,Households_with_Internet,Rural_Households,Urban_Households,Graduate_Education,Total_Power_Parity,sex_ratio,literacy_rate
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,29566,18926,14188,887,202,17889,6306,2693,348,122.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,36777,27969,14204,1300,303,22272,8503,6030,348,108.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,499038,398020,84804,25286,2078,447189,52192,46947,348,105.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,237114,196964,49866,12959,2523,181923,38470,20221,348,104.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,639946,534182,140205,37541,5316,346227,88933,45341,348,104.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,475273,453227,487039,268666,218373,45444,12084,1166,268517,20189,22267,348,105.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,351249,334884,423028,237761,185267,28195,10410,1192,211758,16504,28006,348,105.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,676434,649901,884531,491361,393170,136685,34479,8817,299852,77163,59380,348,104.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,513292,494891,563577,304302,259275,78641,13524,1364,228610,39504,18294,348,104.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,543161,523727,721764,396475,325289,82345,17636,3073,292893,34190,36887,348,104.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,337890,321406,407366,226836,180530,44143,10615,1211,159215,16202,11608,348,105.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,556805,535451,794929,432335,362594,122063,26357,5651,286330,80824,62608,348,104.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,778461,739081,995319,550219,445100,122191,23468,3109,390596,43849,55011,348,105.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,490167,466146,557214,314253,242961,53918,11340,1923,215691,37185,18225,348,105.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,625864,602822,795297,435942,359355,70951,24699,1933,261945,32695,21408,348,104.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,452905,434237,489305,275220,214085,41373,14063,1218,204896,17115,17287,348,104.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,529674,512463,683486,375552,307934,60296,15011,1948,293239,34694,44212,348,103.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,1439112,1384656,1710716,921850,788866,195631,45956,5121,674999,124186,66994,348,104.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,396006,375633,531771,293184,238587,68313,12360,1631,210706,28238,39368,348,105.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,983904,940206,1108572,620525,488047,133368,31254,4358,483325,64528,49901,348,105.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,680231,647698,798322,453449,344873,161718,27948,5135,290704,90910,38152,348,105.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,1463333,1348236,1195768,727643,468125,43290,29796,2561,659061,44213,39627,2035,109.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,1318684,1221389,1466002,868733,597269,44456,31168,2362,428291,49006,91371,2215,108.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,1924469,1776813,2503837,1430936,1072901,589477,69937,23258,551789,427343,253253,8119,108.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,868733,597269,44456,31168,2362,428291,49006,91371,2215,108.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,1430936,1072901,589477,69937,23258,551789,427343,253253,8119,108.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1067140,967623,965321,590961,374360,62359,22300,1704,425604,18492,35767,1738,110.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,1567660,1402881,1548673,918507,630166,120373,43127,4644,594377,139248,101836,2354,112.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,1615663,1422103,1573066,937669,635397,174534,46929,6764,522527,130634,118843,2814,114.0,52.0
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,1430380,1298027,1599151,973486,625665,62153,34658,3661,434559,77368,131137,2600,110.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,887977,818375,989807,593544,396263,46760,19324,1784,299252,35405,64117,1556,109.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,2059949,1877436,1816634,1125566,691068,127442,53205,6280,907174,95539,129597,3514,110.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,2266566,2124852,2297613,1368803,928810,112617,57011,6856,696289,111282,131163,3998,107.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,1267666,1294346,1382998,793905,589093,69375,33596,3707,515925,38133,79109,2370,98.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,916064,844341,858588,534385,324203,32633,22414,1839,325909,30851,29633,1516,108.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,585582,539731,618881,374412,244469,27641,11302,1106,186660,28132,45519,960,108.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,1600430,1470599,1280190,762256,517934,60900,27263,2941,668232,69838,57114,2516,109.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,883786,783100,768028,461153,306875,40641,21654,1580,373696,21007,38697,1254,113.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,866970,823430,745056,439921,305135,58718,14073,1093,401793,43357,15386,1347,105.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,526345,474567,507270,305182,202088,44491,8862,1186,175882,31763,27261,904,111.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1047559,954203,834577,517666,316911,23236,23309,1397,486278,24000,44955,1494,110.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,2329313,2158066,2155338,1340085,815253,113281,65548,5319,1047552,41234,137780,3520,108.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,729041,638724,801817,473741,328076,90461,17946,2653,222281,85782,64469,1424,114.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,2527497,2273565,2509232,1487117,1022115,180651,73012,10290,998694,120700,138916,4105,111.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,1497060,1380593,1519933,919558,600375,101378,43848,4156,514141,102522,133032,2578,108.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1144668,1074478,1091012,659474,431538,31162,28411,1841,379551,45323,64585,1924,107.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,2061110,1873932,1759481,1091226,668255,57546,41143,3495,839514,96620,70669,3181,110.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,3078512,2759953,3459679,2028047,1431632,546859,132582,40692,657991,552103,452340,7065,112.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,2681209,2418162,2276957,1407603,869354,74979,70258,7719,1142260,101565,68781,4098,111.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,1699370,1565249,1332326,805261,527065,86058,33664,4170,712847,85749,59996,2641,109.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,1543546,1416372,1799832,1061783,738049,114893,36279,4594,512383,95678,161555,1555,109.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,997174,903487,804996,506374,298622,41342,19415,1668,432651,38046,47051,1582,110.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,2230003,2031563,2142880,1293575,849305,88021,50918,5379,1012979,43486,129933,3500,110.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,2022821,1929041,2157454,1285767,871687,94787,37442,4509,701323,76299,148065,3667,105.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,329743,306599,328676,196431,132245,20065,8873,631,108293,24345,19676,565,108.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,346673,309573,283698,171645,112053,10004,6698,478,158484,7516,10091,489,112.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,1803252,1620322,1436794,885188,551606,66263,42461,3460,807294,49670,70549,2679,111.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,1675090,1655374,1930175,1115906,814269,52935,37833,3834,632514,41858,119164,3014,101.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1155283,1073793,1033283,647672,385611,51028,25078,1845,572287,27815,45726,1836,108.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,1844535,1650486,1926740,1152576,774164,70001,39564,4810,699317,51494,124448,2930,112.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,580663,474787,805438,465346,340092,231204,78113,44283,8911,289456,174528,34145,122.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,698487,714712,650863,382335,268528,157646,9042,1782,316425,54894,32895,1529,98.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,192764,189192,287620,155599,132021,79146,6281,1574,152458,11987,25474,3666,102.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,1351574,1312055,1596560,932474,664086,519704,30892,8566,549632,188174,134637,2981,103.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,192764,189192,287620,155599,132021,79146,6281,1574,152458,11987,25474,3666,102.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,1351574,1312055,1596560,932474,664086,519704,30892,8566,549632,188174,134637,2981,103.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,397897,401884,546833,303924,242909,148926,4804,1016,168689,41792,31319,782,99.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,1682101,1661771,2303378,1284612,1018766,614109,51289,16141,533448,349741,202424,4209,101.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,424747,426922,495415,280656,214759,76783,5755,567,205670,20722,26161,856,99.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,612915,593725,748759,433391,315368,202380,18004,4544,206598,126055,61215,1565,103.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,334737,324180,397823,229923,167900,80023,7609,1667,121852,59763,26802,852,103.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,511967,520787,637963,364089,273874,212487,5614,961,274793,35774,33357,964,98.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,750278,743706,951639,542756,408883,297308,13857,3342,354278,66638,66358,1575,101.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,1344345,1289855,1939994,1059692,880302,547206,96301,38570,581868,377160,204507,6097,104.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,542756,408883,297308,13857,3342,354278,66638,66358,1575,101.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,1059692,880302,547206,96301,38570,581868,377160,204507,6097,104.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,2048186,2015686,2629749,1493158,1136591,728556,59523,20261,673499,395001,227382,4561,102.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,1193129,1166757,1187941,694686,493255,253131,18983,2737,525596,65167,64607,2462,102.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,124659,66514,150348,104316,46032,49249,4543,1316,10006,61073,9128,34145,187.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,1404356,1338726,1842818,1046981,795837,498326,26991,6628,489237,287506,139957,5549,105.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,1046981,795837,498326,26991,6628,489237,287506,139957,5549,105.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,351738,311322,173951,56266,23440,115859,209230,86781,2078,104.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,264085,238342,138810,44299,17624,88620,162873,57460,1646,101.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,3025463,2410297,1456046,273651,126341,353169,1845383,839295,18633,111.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,558180,437279,273331,12765,2538,313714,116899,50999,2825,104.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,874481,676772,378310,32523,9902,413078,208909,110351,4372,108.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,1048402,656521,396873,23149,3424,666773,137424,66950,4242,107.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,623047,495229,309091,29531,10257,300677,181319,74380,3242,108.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,1087371,799884,500757,28925,7297,387251,356826,93391,5434,107.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,582686,447808,262539,33662,12107,237624,195634,108400,6016,108.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,795140,601394,386538,30384,11573,347158,299167,87523,5028,107.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,739239,513080,403294,31961,9631,488293,250982,60386,4146,110.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,942480,717763,372226,24502,5710,461479,160547,84223,4252,106.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,847499,655146,385609,33731,7759,476005,183738,130723,3648,108.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,211767,158569,101940,4081,576,138121,22248,14748,979,104.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,539471,462438,267679,24397,6726,267739,141417,85041,3256,104.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,858054,582751,398937,19753,3456,463363,104238,71810,3981,105.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,494631,343282,223424,12870,2231,301483,102655,46355,2199,107.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,221621,172057,117040,5639,1653,96015,87557,22458,1463,105.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,1514075,1210981,747352,67370,21785,459474,721532,266295,8498,108.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,918625,660109,438606,25425,5262,544024,121509,110817,3934,105.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,2687468,1883942,1252452,149331,55694,369840,1529998,379505,16368,127.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,643221,450405,302068,15309,2975,340788,159810,58389,3227,108.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,113821,114470,140968,77314,63654,29794,1393,137,52102,7516,3490,325,99.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,1614087,1278993,798277,117818,53606,547454,692971,314960,9753,107.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,887222,818456,1170657,655528,515129,329218,31285,11020,262410,235981,90912,3316,108.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,461288,356737,199681,32767,12899,175365,139891,91472,2781,113.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,643158,426713,266244,25236,5292,357047,99235,104875,3349,113.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,966110,843623,1272739,734940,537799,333171,82673,43437,87700,382981,259933,5080,115.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,495360,446651,557578,327471,230107,153301,13142,3210,203020,55360,37741,1854,111.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,816690,697742,1111116,638666,472450,305751,102343,67087,141703,381988,233402,3107,117.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,670200,444111,285004,33400,10132,302013,154113,105346,3642,115.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,514667,443738,676091,399480,276611,168558,19241,5034,211816,78328,58826,2169,116.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,502049,330709,222462,23750,5263,278335,89665,64599,2674,115.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,571003,503301,646529,385782,260747,187349,15301,3724,231091,75696,51043,2046,113.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,797712,707612,978013,564516,413497,267223,29253,11163,292682,135920,101387,3368,113.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,510976,453679,646893,370828,276065,171908,21951,7356,203553,88268,71007,2137,113.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,486665,435423,630255,380440,249815,135455,13908,2624,223726,44216,60296,1894,112.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,299679,261614,405318,229862,175456,103455,32174,18615,70895,93656,83256,1445,115.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,646857,558580,786599,464136,322463,209965,26719,10024,173502,153804,75774,2559,116.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,474335,425997,636947,375453,261494,152651,18092,5121,199449,69305,65143,1979,111.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,568479,492725,747582,436025,311557,193120,27225,8482,175203,131739,100346,2299,115.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,682582,612607,782897,456968,325929,215527,22706,6287,245476,93316,61620,2681,111.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,261320,257760,323842,186064,137778,96082,5117,1615,186395,13836,15506,950,101.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,217070,237698,358091,180555,177536,104120,7525,2521,196116,15232,35620,878,91.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,593537,510748,653299,408125,245174,55929,11037,1196,256081,55300,59612,1291,116.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,217070,237698,358091,180555,177536,104120,7525,2521,196116,15232,35620,878,91.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,593537,510748,653299,408125,245174,55929,11037,1196,256081,55300,59612,1291,116.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,750591,759484,1152640,606443,546197,330081,22753,8053,588321,39007,91236,2878,99.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,46249,37872,60699,36697,24002,17865,2563,354,44514,0,5118,181,122.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,225452,212451,307672,174550,133122,91322,7010,2623,167995,20709,23168,854,106.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,498065,501712,723747,393669,330078,214491,16401,5333,431129,31696,54139,1842,99.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,425039,388971,612642,342846,269796,172754,24127,9177,279269,95896,80414,1668,109.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,276289,253566,362645,205617,157028,91509,8593,2220,171102,21054,23352,930,109.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,308754,271566,428578,244372,184206,119866,14478,5250,192787,51509,36803,1253,114.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,263692,257481,399715,213281,186434,105929,8238,2412,185091,20126,32120,987,102.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,213641,196295,219083,138620,80463,61831,3077,596,122267,11350,12647,1103,109.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,813821,716137,1137135,641916,495219,294739,46657,19905,254566,248043,146501,3525,114.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,77785,63017,86236,56301,29935,15824,1005,235,40370,7774,3077,214,123.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,326109,290326,389204,228499,160705,109422,6112,1443,181374,33473,24330,936,112.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,293064,267376,293958,178326,115632,73629,5293,1537,147520,21703,31286,1068,110.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,251899,224936,261724,163333,98391,62900,3342,346,132139,15269,13962,629,112.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,651124,585705,748584,431746,316838,165403,33831,16413,4518,257721,121856,3099,111.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,296784,258201,322354,197543,124811,73999,5744,1214,148664,34696,17345,1278,115.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,1072807,989523,1273520,759088,514432,274726,37997,9754,250312,258452,116396,3604,108.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,533935,508951,510061,303902,206159,27037,9115,590,200974,14528,21697,817,105.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,775022,717051,793538,489837,303701,130193,13550,1944,257373,64337,43979,1267,108.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,1405956,1278531,1722204,1014950,707254,427173,46646,11568,258764,405455,107382,3954,110.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,668514,652928,672409,406275,266134,62110,10396,1193,303697,23281,25593,1323,102.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,683575,639209,653476,405161,248315,29373,8881,565,272872,19180,28144,1017,107.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1258098,1187376,1253475,783736,469739,125431,19976,1944,452564,46886,55122,2384,106.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,677927,635624,604519,376212,228307,43230,11925,874,276454,15576,30870,1057,107.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,514390,510823,559720,321795,237925,31687,7807,831,216629,16445,23742,849,101.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,404830,386212,426312,258260,168052,49419,4959,808,165555,20113,14802,540,105.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,369666,357312,350682,209706,140976,38194,6240,340,146377,14137,13956,547,103.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,149568,110139,28769,2954,351,96759,14725,13847,388,102.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,452661,447761,352881,206989,145892,31414,4535,328,200588,16587,9822,691,101.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,621706,402857,68238,19981,2155,355529,52375,63595,1515,108.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,1085244,826189,350908,76565,22538,420740,310242,195181,3805,105.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,287303,195960,34879,9563,591,223450,37543,19832,954,105.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,191991,151492,16865,4649,423,144169,11114,13674,496,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,641388,472024,301389,26297,3745,324799,165858,82319,2890,101.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,385311,303438,214253,17066,3729,231052,95410,51015,1422,106.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,1725548,1326484,808827,73497,17560,962777,356198,201884,7045,103.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,813440,608181,440374,40190,9626,371604,251876,89475,3886,102.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,597198,445475,271439,36072,3971,287134,102269,54900,2448,105.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,54076,32843,12516,1462,117,50449,7942,3421,1387,102.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,730566,517702,326594,36571,4987,396449,131041,96990,2938,104.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,566622,571339,818345,438257,380088,238505,18727,4510,311660,80766,72420,1996,99.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,840843,818613,1087392,607188,480204,307257,28897,5711,349704,97644,75262,2374,103.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,986400,959097,1308540,720637,587903,372671,39416,7320,354680,176011,123863,3062,103.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,711776,589888,347962,49585,15013,199707,283397,137768,3519,103.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,397178,302999,198064,15625,3373,180066,111906,42053,1699,102.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,828359,599009,404767,52483,9752,400704,199303,104256,5378,103.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,668836,556420,400702,23444,4851,496103,132878,103152,2743,99.0,69.0
